Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,City_Name,Host_Country
598065,07-05-2009,7,11,6,Wankhede Stadium,11,bat,0,1,0,by wickets,7,7,221,Mumbai,India
598066,08-05-2009,1,10,6,JSCA International Stadium Complex,1,field,0,1,0,by runs,7,10,96,Ranchi,India
598067,09-05-2009,3,6,6,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by runs,33,3,20,Chennai,India
598068,10-05-2009,7,5,6,Wankhede Stadium,5,field,0,1,0,by runs,14,7,207,Mumbai,India
598069,11-05-2009,4,2,6,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,0,by wickets,6,4,320,Chandigarh,India
598070,12-05-2009,11,5,6,"Rajiv Gandhi International Stadium, Uppal",11,bat,0,1,0,by runs,23,11,136,Hyderabad,India
598071,13-05-2009,4,7,6,Himachal Pradesh Cricket Association Stadium,7,field,0,1,0,by runs,50,4,321,Dharamsala,India
598072,14-05-2009,10,6,6,Subrata Roy Sahara Stadium,10,bat,0,1,0,by runs,38,10,358,Pune,India
598073,15-05-2009,2,3,6,M Chinnaswamy Stadium,3,field,0,1,0,by runs,24,2,8,Bangalore,India
598074,16-05-2009,11,1,6,"Rajiv Gandhi International Stadium, Uppal",1,bat,0,1,0,by wickets,5,11,17,Hyderabad,India
598075,17-05-2009,3,7,6,Feroz Shah Kotla,3,bat,0,1,0,by runs,48,3,19,Delhi,India
598076,18-05-2009,5,11,6,Feroz Shah Kotla,11,bat,0,1,0,by wickets,4,5,104,Delhi,India
598077,19-05-2009,7,5,6,Eden Gardens,5,bat,0,1,0,by wickets,4,7,50,Kolkata,India
598078,20-05-2009,3,7,6,Eden Gardens,7,bat,0,1,0,by runs,23,7,221,Kolkata,India
729284,21-05-2009,7,1,7,Sheikh Zayed Stadium,1,bat,0,1,0,by runs,41,1,9,Abu Dhabi,U.A.E
729286,22-05-2009,6,2,7,Sharjah Cricket Stadium,2,field,0,1,0,by wickets,8,2,382,Abu Dhabi,U.A.E
729288,23-05-2009,3,4,7,Sheikh Zayed Stadium,3,bat,0,1,0,by wickets,6,4,305,Abu Dhabi,U.A.E
729290,24-05-2009,11,5,7,Sheikh Zayed Stadium,5,field,0,1,0,by wickets,4,5,85,Abu Dhabi,U.A.E
729292,25-05-2009,2,7,7,Dubai International Cricket Stadium,2,field,0,1,0,by wickets,7,2,17,Abu Dhabi,U.A.E
729294,26-05-2009,1,6,7,Dubai International Cricket Stadium,1,bat,0,1,0,by wickets,4,6,154,Abu Dhabi,U.A.E
729296,27-05-2009,5,4,7,Sharjah Cricket Stadium,4,field,0,1,0,by wickets,7,4,305,Abu Dhabi,U.A.E
729298,28-05-2009,3,6,7,Sheikh Zayed Stadium,3,bat,0,1,0,by runs,93,3,21,Abu Dhabi,U.A.E
729300,29-05-2009,4,11,7,Sharjah Cricket Stadium,11,field,0,1,0,by runs,72,4,305,Abu Dhabi,U.A.E
729302,30-05-2009,5,3,7,Dubai International Cricket Stadium,5,field,0,1,0,by runs,7,3,35,Abu Dhabi,U.A.E
729304,31-05-2009,2,1,7,Sharjah Cricket Stadium,2,field,0,1,0,by runs,2,1,336,Abu Dhabi,U.A.E
729306,01-06-2009,11,6,7,Dubai International Cricket Stadium,11,bat,0,1,0,by runs,4,11,254,Abu Dhabi,U.A.E
729308,02-06-2009,3,7,7,Dubai International Cricket Stadium,7,bat,0,1,0,by wickets,7,3,364,Abu Dhabi,U.A.E
729310,03-06-2009,5,2,7,Sheikh Zayed Stadium,5,field,0,1,0,by wickets,6,5,370,Abu Dhabi,U.A.E
729312,04-06-2009,1,4,7,Sheikh Zayed Stadium,1,field,0,1,0,by runs,23,4,367,Abu Dhabi,U.A.E
729314,05-06-2009,6,7,7,Sharjah Cricket Stadium,7,bat,0,1,0,by wickets,6,6,185,Abu Dhabi,U.A.E
729316,06-06-2009,11,3,7,Sharjah Cricket Stadium,11,bat,0,1,0,by wickets,5,3,147,Abu Dhabi,U.A.E
729318,07-06-2009,4,2,7,Dubai International Cricket Stadium,4,field,0,1,0,by wickets,5,4,367,Abu Dhabi,U.A.E
729320,08-06-2009,1,5,7,Sheikh Zayed Stadium,5,bat,1,1,0,Tie,NULL,5,310,Abu Dhabi,U.A.E
729322,09-06-2009,7,11,7,Dubai International Cricket Stadium,7,field,0,1,0,by runs,15,11,299,Abu Dhabi,U.A.E
733976,10-06-2009,3,1,7,JSCA International Stadium Complex,3,bat,0,1,0,by runs,34,3,35,Ranchi,India
733978,11-06-2009,7,4,7,Wankhede Stadium,4,bat,0,1,0,by wickets,5,7,372,Mumbai,India
733980,12-06-2009,6,5,7,Feroz Shah Kotla,5,field,0,1,0,by wickets,7,5,339,Delhi,India
733982,13-06-2009,2,11,7,M Chinnaswamy Stadium,2,field,0,1,0,by wickets,4,2,110,Bangalore,India
733984,14-06-2009,5,1,7,"Sardar Patel Stadium, Motera",1,field,0,1,0,by runs,10,5,370,Ahmedabad,India
733986,15-06-2009,6,3,7,Feroz Shah Kotla,3,field,0,1,0,by wickets,8,3,147,Delhi,India
733988,16-06-2009,7,2,7,Wankhede Stadium,2,field,0,1,0,by runs,19,7,57,Mumbai,India
733990,17-06-2009,6,1,7,Feroz Shah Kotla,6,bat,0,1,0,by wickets,8,1,40,Delhi,India
733992,18-06-2009,4,3,7,Barabati Stadium,3,field,0,1,0,by runs,44,4,305,Cuttack,India
733994,19-06-2009,5,11,7,"Sardar Patel Stadium, Motera",5,field,0,1,0,by runs,32,11,299,Ahmedabad,India
733996,20-06-2009,2,4,7,M Chinnaswamy Stadium,2,field,0,1,0,by runs,32,4,367,Bangalore,India
733998,21-06-2009,6,11,7,Feroz Shah Kotla,11,field,0,1,1,by wickets,8,11,94,Delhi,India
734000,22-06-2009,7,3,7,Wankhede Stadium,3,field,0,1,0,by wickets,4,3,147,Mumbai,India
734002,23-06-2009,4,1,7,Barabati Stadium,1,field,0,1,0,by wickets,9,1,40,Cuttack,India
734004,24-06-2009,2,5,7,M Chinnaswamy Stadium,2,bat,0,1,0,by wickets,5,5,310,Bangalore,India
734006,25-06-2009,11,7,7,"Rajiv Gandhi International Stadium, Uppal",11,bat,0,1,0,by wickets,7,7,208,Hyderabad,India
734008,26-06-2009,3,5,7,JSCA International Stadium Complex,5,bat,0,1,0,by wickets,5,3,35,Ranchi,India
734010,27-06-2009,2,6,7,M Chinnaswamy Stadium,6,field,0,1,0,by runs,16,2,27,Bangalore,India
734012,28-06-2009,11,4,7,"Rajiv Gandhi International Stadium, Uppal",4,field,0,1,0,by wickets,6,4,62,Hyderabad,India
734014,29-06-2009,1,7,7,Barabati Stadium,1,field,0,1,0,by wickets,6,1,46,Cuttack,India
734016,30-06-2009,5,6,7,"Sardar Patel Stadium, Motera",6,field,0,1,0,by runs,62,5,85,Ahmedabad,India
734018,01-07-2009,3,2,7,JSCA International Stadium Complex,3,bat,0,1,0,by wickets,5,2,110,Ranchi,India
734020,02-07-2009,11,1,7,"Rajiv Gandhi International Stadium, Uppal",11,bat,0,1,0,by wickets,7,1,232,Hyderabad,India
734022,03-07-2009,5,7,7,"Sardar Patel Stadium, Motera",7,bat,0,1,0,by runs,25,7,19,Ahmedabad,India
734024,04-07-2009,6,4,7,Feroz Shah Kotla,4,field,0,1,0,by wickets,4,4,374,Delhi,India
734026,05-07-2009,11,2,7,"Rajiv Gandhi International Stadium, Uppal",2,bat,0,1,0,by wickets,7,11,187,Hyderabad,India
734028,06-07-2009,1,3,7,Eden Gardens,1,field,0,1,0,by wickets,8,1,46,Kolkata,India
734030,07-07-2009,4,7,7,"Punjab Cricket Association Stadium, Mohali",7,field,0,1,0,by wickets,7,7,383,Chandigarh,India
734032,08-07-2009,1,2,7,Eden Gardens,2,field,0,1,0,by runs,30,1,46,Kolkata,India
734034,09-07-2009,3,11,7,JSCA International Stadium Complex,11,field,0,1,0,by wickets,6,11,187,Ranchi,India
734036,10-07-2009,7,6,7,Wankhede Stadium,6,field,0,1,0,by runs,15,7,19,Mumbai,India
734038,11-07-2009,4,5,7,"Punjab Cricket Association Stadium, Mohali",5,field,0,1,0,by runs,16,4,100,Chandigarh,India
734040,12-07-2009,2,3,7,M Chinnaswamy Stadium,3,field,0,1,0,by wickets,8,3,20,Bangalore,India
734042,13-07-2009,1,11,7,Eden Gardens,1,field,0,1,0,by wickets,4,1,31,Kolkata,India
734044,14-07-2009,4,6,7,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,0,by wickets,7,4,345,Chandigarh,India
734046,15-07-2009,7,5,7,Wankhede Stadium,7,field,0,1,0,by wickets,5,7,372,Mumbai,India
734048,16-07-2009,4,1,7,Eden Gardens,4,field,0,1,0,by runs,28,1,232,Kolkata,India
734050,17-07-2009,3,7,7,Brabourne Stadium,3,field,0,1,0,by wickets,7,3,21,Mumbai,India
734052,18-07-2009,3,4,7,Wankhede Stadium,3,field,0,1,0,by runs,24,4,41,Mumbai,India
734054,19-07-2009,1,4,7,M Chinnaswamy Stadium,1,field,0,1,0,by wickets,3,1,96,Bangalore,India
829710,20-07-2009,1,7,8,Eden Gardens,1,field,0,1,0,by wickets,7,1,190,Kolkata,India
829712,21-07-2009,3,6,8,"MA Chidambaram Stadium, Chepauk",6,field,0,1,0,by runs,1,3,73,Chennai,India
829714,22-07-2009,4,5,8,Maharashtra Cricket Association Stadium,4,field,0,1,0,by runs,26,5,310,Pune,India
829716,23-07-2009,3,11,8,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by runs,45,3,2,Chennai,India
829718,24-07-2009,1,2,8,Eden Gardens,2,field,0,1,0,by wickets,3,2,162,Kolkata,India
829720,25-07-2009,6,5,8,Feroz Shah Kotla,5,field,0,1,0,by wickets,3,5,394,Delhi,India
829722,26-07-2009,7,4,8,Wankhede Stadium,7,field,0,1,0,by runs,18,4,197,Mumbai,India
829724,27-07-2009,2,11,8,M Chinnaswamy Stadium,11,field,0,1,0,by wickets,8,11,187,Bangalore,India
829726,28-07-2009,5,7,8,"Sardar Patel Stadium, Motera",7,bat,0,1,0,by wickets,7,5,306,Ahmedabad,India
829728,29-07-2009,1,3,8,Eden Gardens,1,field,0,1,0,by wickets,7,1,334,Kolkata,India
829730,30-07-2009,4,6,8,Maharashtra Cricket Association Stadium,4,bat,0,1,0,by wickets,5,6,260,Pune,India
829732,31-07-2009,11,5,8,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5,field,0,1,0,by wickets,6,5,85,Visakhapatnam,India
829734,01-08-2009,7,3,8,Wankhede Stadium,7,bat,0,1,0,by wickets,6,3,73,Mumbai,India
829736,02-08-2009,11,6,8,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,bat,0,1,0,by runs,4,6,154,Visakhapatnam,India
829738,03-08-2009,4,1,8,Maharashtra Cricket Association Stadium,1,field,0,1,0,by wickets,4,1,334,Pune,India
829740,04-08-2009,5,3,8,"Sardar Patel Stadium, Motera",3,bat,0,1,0,by wickets,8,5,85,Ahmedabad,India
829742,05-08-2009,2,7,8,M Chinnaswamy Stadium,2,field,0,1,0,by runs,18,7,50,Bangalore,India
829744,06-08-2009,6,1,8,Feroz Shah Kotla,1,field,0,1,0,by wickets,6,1,232,Delhi,India
829746,07-08-2009,5,4,8,"Sardar Patel Stadium, Motera",4,field,1,1,0,Tie,NULL,4,100,Ahmedabad,India
829748,08-08-2009,11,1,8,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,field,0,1,1,by runs,16,11,187,Visakhapatnam,India
829750,09-08-2009,2,3,8,M Chinnaswamy Stadium,2,field,0,1,0,by runs,27,3,21,Bangalore,India
